lc0030	10.1107/S0108768101001628
lc5020	10.1107/S010876810500546X
lc5062	10.1107/S2052252515010271
lg3066	10.1107/S0108270111039916
lg3125	10.1107/S010827011302845X
lg3238	10.1107/S2053229619004984
lg3241	10.1107/S205322961901180X
lh2256	10.1107/S1600536806052093
lh2329	10.1107/S1600536807012354
lh2358	10.1107/S1600536807024233
lh2492	10.1107/S1600536807048428
lh2648	10.1107/S1600536808022137
lh2866	10.1107/S1600536809029353
lh2977	10.1107/S1600536810007750
lh5082	10.1107/S1600536810028783
lh5126	10.1107/S1600536810037402
lh5582	10.1107/S1600536813004315
lh5832	10.1107/S2056989017003309
lh6405	10.1107/S1600536805012171
lm5009	10.1107/S0108768107022665
ln3024	10.1107/S0108270106043125
lq5016	10.1107/S2052252518011685
ml5212	10.1107/S0909049505039208
na0109	10.1107/S0108768100009927
na0125	10.1107/S010876810101237X
na0142	10.1107/S010876810201947X
nb5132	10.1107/S1600576715000941
nb5163	10.1107/S1600576716002296
nb5178	10.1107/S1600576716010372
og5010	10.1107/S0108768105017714
og5013	10.1107/S0108768105030570
og5034	10.1107/S0108768109003759
og5035	10.1107/S0108768108041529
og5036	10.1107/S0108768109001827
og5067	10.1107/S2052520613033994
os0043	10.1107/S0108768100003633
os0045	10.1107/S0108768100003645
os0074	10.1107/S0108768101013647
os0078	10.1107/S0108768101016688
ov3141	10.1107/S2053229620013960
pd5071	10.1107/S1600576715022566
pd5084	10.1107/S1600576716015405
po5015	10.1107/S2052520615002942
ps5016	10.1107/S0108768112019994
ps5021	10.1107/S2052519213004843
ps5069	10.1107/S2052520618004092
pz5097	10.1107/S0108768112008038
qs3073	10.1107/S2053229618009841
ra5050	10.1107/S2052520619003238
ra5073	10.1107/S2052520620006757
ra5076	10.1107/S2052520620002620
rw5065	10.1107/S1600576714004907
sf3190	10.1107/S0108270113004502
sh0116	10.1107/S0108768198005758
sh0123	10.1107/S0108768198018333
sk1513	10.1107/S0108270101018224
sk1538	10.1107/S0108270102005292
sk1735	10.1107/S0108270104016129
sk3191	10.1107/S0108270108005143
sk3312	10.1107/S0108270109013365
sk3362	10.1107/S0108270110009510
sk3399	10.1107/S0108270111010328
sk3441	10.1107/S0108270112031885
sk3493	10.1107/S0108270113015709
sk3495	10.1107/S0108270113016491
sk3674	10.1107/S2053229617017946
sk3715	10.1107/S2053229618016200
sk3716	10.1107/S2053229618017734
sn0004	10.1107/S0108768100013215
sn0020	10.1107/S0108768102001970
sn0029	10.1107/S0108768102021353
sn0038	10.1107/S0108768104012881
sn5019	10.1107/S0108768105015004
sn5063	10.1107/S0108768108001870
sn5079	10.1107/S0108768109025300
sn5085	10.1107/S0108768109027177
sn5110	10.1107/S0108768112017478
so5032	10.1107/S0108768110024080
sq1033	10.1107/S0108270103024806
sq3185	10.1107/S0108270109006118
sq3214	10.1107/S0108270109038542
sq3230	10.1107/S0108270109055140
sq3256	10.1107/S0108270110032014
sq3289	10.1107/S0108270111015861
su2001	10.1107/S1600536806001371
ta5002	10.1107/S0108768103022602
ty1005	10.1107/S0108270105003100
ty1006	10.1107/S010827010501509X
vn2001	10.1107/S160053681100688X
vn2075	10.1107/S1600536813017522
vn2088	10.1107/S205698901402756X
vn2106	10.1107/S2056989016001390
vn2146	10.1107/S2056989019005024
vn2147	10.1107/S2056989019008442
wf5039	10.1107/S0108768109011057
wf5122	10.1107/S2052520615021083
wf5134	10.1107/S2052520617007983
wh5004	10.1107/S0108768108042444
wh5011	10.1107/S0108768110051050
wh5012	10.1107/S010876811005370X
wm2037	10.1107/S1600536806030832
wm2082	10.1107/S1600536806053864
wm2094	10.1107/S1600536807005752
wm2097	10.1107/S1600536807010276
wm2114	10.1107/S1600536807025135
wm2188	10.1107/S1600536808026901
wm2209	10.1107/S1600536808044127
wm2244	10.1107/S1600536809027573
wm2324	10.1107/S1600536810014327
wm2446	10.1107/S1600536811006891
wm2620	10.1107/S1600536812018077
wm2699	10.1107/S1600536812048921
wm2726	10.1107/S1600536813007848
wm2731	10.1107/S1600536813012427
wm5021	10.1107/S1600536814013658
wm5172	10.1107/S2056989015011354
wm5581	10.1107/S2056989020012062
wm6038	10.1107/S1600536804029150
wm6096	10.1107/S1600536805034811
wm6100	10.1107/S160053680503415X
wm6101	10.1107/S1600536805034161
wm6137	10.1107/S1600536806005514
wn6225	10.1107/S1600536804005069
ws0002	10.1107/S0108768103004634
ws5023	10.1107/S0108768105012395
ws5027	10.1107/S0108768106003314
ws5037	10.1107/S0108768106015485
ws5045	10.1107/S0108768106039309
ws5051	10.1107/S0108768106039140
ws5052	10.1107/S0108768106040109
ws5055	10.1107/S0108768107035136
ws5057	10.1107/S0108768107030005
ws5063	10.1107/S0108768108010379
ws5067	10.1107/S0108768108025093
ws5072	10.1107/S0108768109047363
xu2006	10.1107/S1600536806008737
ya2062	10.1107/S1600536807064999
ya2118	10.1107/S1600536810005349
ya6107	10.1107/S1600536802012564
ya6147	10.1107/S1600536802020561
ya6211	10.1107/S1600536804018264
yb5011	10.1107/S2052520616007058
yo3046	10.1107/S2053229618001705
zb5005	10.1107/S0108768109023489
zb5006	10.1107/S0108768109027244
zb5014	10.1107/S0108768110039327
zb5033	10.1107/S2052520614001140
zb5035	10.1107/S2052520614011317
zb5045	10.1107/S2052520615000724
zm5036	10.1107/S0021889805032656
zx5020	10.1107/S2052252520007460
